,文章編號,推數,噓數,文章分數,文章作者,文章名稱,發表時間
0,1,0,0,0,caeasonfb (eason),[問卦] 台灣如果沒有冷氣是不是無法現代化?,10 2019
1,2,5,1,4,sleepyuan (文源),[問卦] 在感情世界玩多角關係會怎樣???,12 2019
2,3,1,3,-2,girl55665566 (支持同志友善),[新聞] 享受同婚幸福 他們惋惜無法升格當家長,56 2019
3,4,10,18,-8,Reewalker (報告饅頭班長不夠),[爆卦] 當年杜魯門放棄9.2是正確選擇,05 2019
4,5,3,0,3,adagiox (adagio),[問卦] 紅芒果好吃還是大香蕉好吃？,20 2019
5,6,5,4,1,HMTking (),[問卦] 美國人說台灣人說美國的語言是美語很奇怪,26 2019
6,7,3,3,0,ak1117 (歐耶),[問卦] 我說我關心的事情不行嗎,10 2019
7,8,0,0,0,su27 (su27),[問卦] 為啥美國不蓋高鐵,38 2019
8,9,0,1,-1,youarenotgay (你並不快樂),[問卦] 如果我眼神裡閃爍不屑？,48 2019
9,10,12,17,-5,meredith001 (￣▽￣),[新聞] 失言被激選總統？柯：民進黨「很多東西,26 2019
10,11,1,0,1,Bastain (滿洲國專家^^),[問卦] 香港新聞熱度冷卻也太快了吧？,11 2019
11,12,0,0,0,arsonlolita (蘿莉塔),[公告] 八卦板板規(2019.08.21),39 2019
12,13,25,1,24,Bignana (愛吃香菜的太太),[協尋] 台北-天母東路跟忠誠路口行車紀錄器(代PO,20 2019
13,14,1,1,0,drai (drai),[問卦] 會想解開謎底ㄇ,28 2019
14,15,15,13,2,SakuraYui (櫻花蝦),[新聞] 韓國瑜現場升起「台灣安全、人民有錢」,27 2019
15,16,4,1,3,nook777 (一加一),"[問卦] 到底要怎摸做才能""救經濟""???",32 2019
16,17,43,23,20,RS5566 (懶叫好吃^Q^),[公告] 八月份置底懶叫閒聊區^Q^,01 2019
